,City_State,Clean_City,Population,Lat,Lng
243,"Kansas City, Missouri",Kansas City,481417.0,39.0997265,-94.5785667
1311,"Omaha, Nebraska",Omaha,465112.0,41.2565369,-95.9345034
1319,"Lincoln, Nebraska",Lincoln,280849.0,40.813616,-96.7025955
1524,"St. Louis, Missouri",St. Louis,311273.0,38.6270025,-90.19940419999999
2265,"Jersey City, New Jersey",Jersey City,261746.0,40.7177545,-74.0431435
2820,"Henderson, Nevada",Henderson,291346.0,36.0395247,-114.9817213
2838,"Las Vegas, Nevada",Las Vegas,626637.0,36.1699412,-115.1398296
3135,"Newark, New Jersey",Newark,280463.0,40.735657,-74.1723667
3411,"Albuquerque, New Mexico",Albuquerque,559202.0,35.0843859,-106.650422
3955,"Buffalo, New York",Buffalo,257518.0,42.88644679999999,-78.8783689
4321,"Charlotte, North Carolina",Charlotte,841611.0,35.2270869,-80.8431267
4439,"New York, New York",New York,8443713.0,40.7127753,-74.0059728
5524,"Raleigh, North Carolina",Raleigh,457159.0,35.7795897,-78.6381787
5614,"Durham, North Carolina",Durham,264310.0,35.9940329,-78.898619
5647,"Greensboro, North Carolina",Greensboro,288719.0,36.0726354,-79.7919754
5903,"Toledo, Ohio",Toledo,278193.0,41.6528052,-83.5378674
6589,"Cincinnati, Ohio",Cincinnati,300357.0,39.1031182,-84.5120196
6622,"Cleveland, Ohio",Cleveland,387398.0,41.49932,-81.6943605
6654,"Columbus, Ohio",Columbus,867628.0,39.9611755,-82.99879419999999
6919,"Oklahoma City, Oklahoma",Oklahoma City,637284.0,35.4675602,-97.5164276
7280,"Tulsa, Oklahoma",Tulsa,402223.0,36.1539816,-95.99277500000001
8455,"Portland, Oregon",Portland,639387.0,45.5051064,-122.6750261
8929,"Pittsburgh, Pennsylvania",Pittsburgh,303587.0,40.44062479999999,-79.9958864
10395,"Philadelphia, Pennsylvania",Philadelphia,1575522.0,39.9525839,-75.1652215
10823,"Nashville-Davidson metropolitan government (balance), Tennessee,None","Nashville-Davidson metropolitan government (balance), Tennessee",660062.0,36.1110343,-86.6921691
11420,"Plano, Texas",Plano,284579.0,33.0198431,-96.6988856
11449,"Lubbock, Texas",Lubbock,250415.0,33.5778631,-101.8551665
11491,"Memphis, Tennessee",Memphis,653248.0,35.1495343,-90.0489801
11553,"San Antonio, Texas",San Antonio,1486521.0,29.4241219,-98.49362819999999
11678,"Dallas, Texas",Dallas,1318806.0,32.7766642,-96.79698789999999
11728,"El Paso, Texas",El Paso,680354.0,31.7618778,-106.4850217
11734,"Houston, Texas",Houston,2295982.0,29.7604267,-95.3698028
12123,"Corpus Christi, Texas",Corpus Christi,324692.0,27.8005828,-97.39638099999999
12541,"Laredo, Texas",Laredo,257575.0,27.5035613,-99.5075519
12553,"Fort Worth, Texas",Fort Worth,855786.0,32.7554883,-97.3307658
12570,"Austin, Texas",Austin,935755.0,30.267153,-97.7430608
12978,"Virginia Beach, Virginia",Virginia Beach,450135.0,36.8529263,-75.97798499999999
13339,"Arlington, Texas",Arlington,392462.0,32.735687,-97.10806559999999
13795,"Seattle, Washington",Seattle,708823.0,47.6062095,-122.3320708
14976,"Madison, Wisconsin",Madison,252086.0,43.0730517,-89.4012302
15595,"Milwaukee, Wisconsin",Milwaukee,596886.0,43.0389025,-87.9064736
16094,"San Juan zona urbana, Puerto Rico,None","San Juan zona urbana, Puerto Rico",331165.0,18.4655394,-66.1057355
16448,"Anchorage municipality, Alaska,None","Anchorage municipality, Alaska",296112.0,61.2180556,-149.9002778
17384,"Mesa, Arizona",Mesa,491194.0,33.4151843,-111.8314724
17389,"Phoenix, Arizona",Phoenix,1610071.0,33.4483771,-112.0740373
17477,"Tucson, Arizona",Tucson,539216.0,32.2226066,-110.9747108
18494,"Stockton, California",Stockton,306283.0,37.9577016,-121.2907796
18500,"Long Beach, California",Long Beach,468883.0,33.7700504,-118.1937395
18591,"Bakersfield, California",Bakersfield,375699.0,35.3732921,-119.0187125
18717,"Chula Vista, California",Chula Vista,266468.0,32.6400541,-117.0841955
18850,"Riverside, California",Riverside,323935.0,33.9806005,-117.3754942
18899,"San Diego, California",San Diego,1401932.0,32.715738,-117.1610838
19063,"Anaheim, California",Anaheim,349668.0,33.8365932,-117.9143012
19104,"Fresno, California",Fresno,522277.0,36.7377981,-119.7871247
19134,"Oakland, California",Oakland,421042.0,37.8043514,-122.2711639
19318,"Aurora, Colorado",Aurora,363550.0,39.7294319,-104.8319195
19416,"Colorado Springs, Colorado",Colorado Springs,457502.0,38.8338816,-104.8213634
19480,"Denver, Colorado",Denver,693417.0,39.7392358,-104.990251
19797,"Irvine, California",Irvine,265502.0,33.6845673,-117.8265049
19803,"San Jose, California",San Jose,1026658.0,37.3382082,-121.8863286
19805,"San Francisco, California",San Francisco,870044.0,37.7749295,-122.4194155
19843,"Sacramento, California",Sacramento,495011.0,38.5815719,-121.4943996
19929,"Santa Ana, California",Santa Ana,333499.0,33.7454725,-117.867653
20022,"Los Angeles, California",Los Angeles,3959657.0,34.0522342,-118.2436849
20140,"Miami, Florida",Miami,451214.0,25.7616798,-80.1917902
20160,"St. Petersburg, Florida",St. Petersburg,259041.0,27.7676008,-82.64029149999999
20313,"Orlando, Florida",Orlando,275690.0,28.5383355,-81.3792365
20342,"Tampa, Florida",Tampa,376345.0,27.950575,-82.4571776
20911,"Washington, District of Columbia",Washington,684498.0,38.9038855,-77.0106021
21364,"Atlanta, Georgia",Atlanta,479655.0,33.7489954,-84.3879824
21756,"Jacksonville, Florida",Jacksonville,878907.0,30.3321838,-81.65565099999999
22798,"Urban Honolulu CDP, Hawaii,None","Urban Honolulu CDP, Hawaii",350003.0,21.3069444,-157.8583333
23494,"Indianapolis city (balance), Indiana,None","Indianapolis city (balance), Indiana",857637.0,39.768403,-86.158068
23811,"Chicago, Illinois",Chicago,2718555.0,41.8781136,-87.6297982
24024,"Fort Wayne, Indiana",Fort Wayne,264052.0,41.079273,-85.1393513
25498,"Wichita, Kansas",Wichita,389563.0,37.68717609999999,-97.33005299999999
26957,"Lexington-Fayette urban county, Kentucky,None","Lexington-Fayette urban county, Kentucky",318734.0,38.0405837,-84.5037164
26958,"Louisville/Jefferson County metro government (balance), Kentucky,None","Louisville/Jefferson County metro government (balance), Kentucky",617032.0,38.2519861,-85.7591408
27002,"Baltimore, Maryland",Baltimore,614700.0,39.2903848,-76.6121893
27490,"New Orleans, Louisiana",New Orleans,389648.0,29.95106579999999,-90.0715323
28347,"St. Paul, Minnesota",St. Paul,302760.0,44.9537029,-93.0899578
28414,"Minneapolis, Minnesota",Minneapolis,416021.0,44.977753,-93.2650108
28450,"Boston, Massachusetts",Boston,679413.0,42.3600825,-71.0588801
28554,"Detroit, Michigan",Detroit,677155.0,42.331427,-83.0457538
