State,State Code,Incentives,Registrations
Alabama,AL,6,1450
Alaska,AK,1,530
Arizona,AZ,19,15000
Arkansas,AR,4,520
California,CA,104,256800
Colorado,CO,35,11700
Connecticut,CT,24,4450
Delaware,DE,10,720
District of Columbia,DC,11,970
Florida,FL,13,25200
Georgia,GA,6,15300
Hawaii,HI,12,6590
Idaho,ID,7,1080
Illinois,IL,14,12400
Indiana,IN,8,3030
Iowa,IA,14,1090
Kansas,KS,2,1610
Kentucky,KY,2,1240
Louisiana,LA,5,1110
Maine,ME,9,750
Maryland,MD,19,8080
Massachusetts,MA,26,9760
Michigan,MI,10,4210
Minnesota,MN,20,4740
Mississippi,MI,4,390
Missouri,MS,7,3450
Montana,MO,5,500
Nebraska,NE,5,850
Nevada,NV,14,4810
New Hampshire,NH,13,1120
New Jersey,NJ,19,12100
New Mexico,NM,13,1260
New York,NY,22,16600
North Carolina,NC,19,7320
North Dakota,ND,3,170
Ohio,OH,12,6510
Oklahoma,OK,12,3290
Oregon,OR,27,12400
Pennsylvania,PA,15,7990
Rhode Island,RI,13,600
South Carolina,SC,6,1950
South Dakota,SD,2,260
Tennessee,TN,3,3980
Texas,TX,16,22600
Utah,UT,20,5220
Vermont,VT,22,1060
Virginia,VA,18,8370
Washington,WA,26,28400
West Virginia,WV,6,230
Wisconsin,WI,18,3680
Wyoming,WY,6,170
